bit_rate,crest_linear,duration_s,dynamic_range_db,ebu_integrated_lufs,ebu_loudness_range_lu,ebu_threshold_lufs,ebu_true_peak_dbtp,entropy,file,flatness_db,flatness_linear,format_name,peak_db,quality_tags,rms_db,size_bytes,spectral_centroid,spectral_flatness,spectral_mean,zero_crossings
256538,4.944523,86.250522,181.083541,-10.5,4.3,-20.5,0.5,0.903416,M04-model-music-2.5+.mp3,0.0,1.0,mp3,0.465543,neutral|textured,-13.215301,2765822,2227.57,0.096314,0.00010307,224082.0
256447,7.080894,119.222857,168.882698,-14.9,9.0,-25.1,0.6,0.847925,O01-output-hex-default.mp3,0.0,1.0,mp3,0.514663,bright|gritty/noisy,-16.504894,3821806,2506.09,0.32467,3.44714e-06,210643.0
256406,8.00523,157.280363,162.738048,-15.0,10.7,-25.3,1.0,0.843494,P01-quality-foo-fighters.mp3,0.0,1.0,mp3,0.40302,neutral|textured,-17.649313,5040957,1612.77,0.0580784,0.00023036,407272.0
256572,7.171657,90.987392,158.532903,-13.6,5.5,-23.8,0.2,0.859023,P02-quality-blink.mp3,0.0,1.0,mp3,0.193773,bright|gritty/noisy,-16.779648,2918112,2864.08,0.150015,2.8228e-05,384111.0
256424,7.351748,161.889524,160.013598,-14.3,7.8,-24.6,0.2,0.853523,P03-quality-green-day.mp3,0.0,1.0,mp3,0.201376,bright|gritty/noisy,-17.234115,5189063,3960.02,0.235969,2.50578e-06,492991.0
256028,8.716215,243.384188,200.380344,-15.7,3.7,-25.8,0.1,0.845075,S01-streaming-short.mp3,0.0,1.0,mp3,0.10494,harsh|gritty/noisy,-18.002182,7789174,4095.12,0.188735,1.62669e-05,528839.0
256021,8.322816,334.603813,167.759329,-15.5,10.7,-25.9,0.1,0.839864,S02-streaming-long.mp3,0.0,1.0,mp3,0.118565,harsh|gritty/noisy,-17.960067,10708202,5084.1,0.391067,5.76066e-06,737485.0
256539,7.933467,91.312472,163.271219,-16.5,7.7,-26.7,-0.5,0.831709,T01-no-structure.mp3,0.0,1.0,mp3,-0.601324,harsh|gritty/noisy,-18.860067,2928153,5111.98,0.389844,1.26055e-05,254525.0
256412,9.776047,184.19229,161.983669,-16.7,11.0,-27.2,0.4,0.810045,T02-explicit-structure.mp3,0.0,1.0,mp3,0.279791,bright|gritty/noisy,-19.26436,5903651,3253.04,0.35276,3.78069e-06,471863.0
256387,7.898457,208.596463,190.091813,-15.4,5.0,-25.6,0.3,0.826368,V01-vocal-raw-male.mp3,0.0,1.0,mp3,-0.044704,harsh|gritty/noisy,-18.028764,6685180,4779.02,0.392343,4.13723e-06,549299.0
256477,6.835287,120.070385,180.955187,-14.5,8.2,-25.0,0.8,0.847645,V02-vocal-female-warm.mp3,0.0,1.0,mp3,0.398447,bright|textured,-16.458907,3849419,3946.87,0.120053,2.3786e-06,140295.0
256431,6.384125,139.017868,169.594364,-14.7,4.3,-24.9,0.3,0.864381,V03-vocal-duet.mp3,0.0,1.0,mp3,0.051652,warm|gritty/noisy,-16.447408,4456066,1455.37,0.184415,2.09015e-06,201853.0
